1185.0,267.0
1177.0,273.0
1167.0,283.0
1153.0,297.0
1137.0,312.0
1121.0,329.0
1096.0,349.0
1066.0,375.0
1030.0,401.0
990.0,427.0
946.0,451.0
902.0,477.0
852.0,503.0
796.0,523.0
738.0,537.0
682.0,549.0
628.0,559.0
578.0,567.0
532.0,571.0
490.0,571.0
454.0,567.0
428.0,559.0
410.0,551.0
398.0,545.0
394.0,539.0
394.0,537.0
394.0,534.0
394.0,531.0
396.0,527.0
398.0,522.0
400.0,520.0
403.0,518.0
410.0,516.0
418.0,515.0
434.0,515.0
459.0,518.0
496.0,526.0
542.0,538.0
596.0,546.0
654.0,556.0
716.0,572.0
780.0,590.0
844.0,610.0
908.0,626.0
976.0,642.0
1036.0,654.0
1094.0,666.0
1146.0,672.0
1190.0,676.0
1224.0,678.0
1252.0,682.0
1276.0,680.0
1292.0,678.0
1302.0,674.0
1306.0,671.0
1305.0,668.0
1303.0,668.0
1301.0,667.0
1299.0,667.0
1298.0,666.0
1296.0,666.0
